file_name,text
0.png,"Brain MRI flair, with small tumor on the top right"
1.png,"Brain MRI flair, healthy"
2.png,"Brain MRI flair, with medium tumor on the top left"
3.png,"Brain MRI flair, with medium tumor on the bottom right"
4.png,"Brain MRI flair, healthy"
5.png,"Brain MRI flair, with medium tumor on the top right"
6.png,"Brain MRI flair, with small tumor on the top right"
7.png,"Brain MRI flair, healthy"
8.png,"Brain MRI flair, healthy"
9.png,"Brain MRI flair, healthy"
10.png,"Brain MRI flair, healthy"
11.png,"Brain MRI flair, with small tumor on the top right"
12.png,"Brain MRI flair, healthy"
13.png,"Brain MRI flair, with medium tumor on the top right"
14.png,"Brain MRI flair, with medium tumor on the top left"
15.png,"Brain MRI flair, healthy"
16.png,"Brain MRI flair, healthy"
17.png,"Brain MRI flair, healthy"
18.png,"Brain MRI flair, with medium tumor on the top right"
19.png,"Brain MRI flair, healthy"
20.png,"Brain MRI flair, with medium tumor on the top right"
21.png,"Brain MRI flair, healthy"
22.png,"Brain MRI flair, with medium tumor on the top left"
23.png,"Brain MRI flair, with medium tumor on the top right"
24.png,"Brain MRI flair, with medium tumor on the top right"
25.png,"Brain MRI flair, with medium tumor on the top right"
26.png,"Brain MRI flair, healthy"
27.png,"Brain MRI flair, healthy"
28.png,"Brain MRI flair, healthy"
29.png,"Brain MRI flair, healthy"
30.png,"Brain MRI flair, healthy"
31.png,"Brain MRI flair, with medium tumor on the top left"
32.png,"Brain MRI flair, healthy"
33.png,"Brain MRI flair, healthy"
34.png,"Brain MRI flair, healthy"
35.png,"Brain MRI flair, healthy"
36.png,"Brain MRI flair, with medium tumor on the top right"
37.png,"Brain MRI flair, healthy"
38.png,"Brain MRI flair, with medium tumor on the bottom right"
39.png,"Brain MRI flair, with medium tumor on the top right"
40.png,"Brain MRI flair, healthy"
41.png,"Brain MRI flair, with small tumor on the bottom right"
42.png,"Brain MRI flair, with medium tumor on the top right"
43.png,"Brain MRI flair, with medium tumor on the bottom left"
44.png,"Brain MRI flair, with large tumor on the bottom left"
45.png,"Brain MRI flair, with large tumor on the top left"
46.png,"Brain MRI flair, healthy"
47.png,"Brain MRI flair, with large tumor on the bottom left"
48.png,"Brain MRI flair, healthy"
49.png,"Brain MRI flair, healthy"
50.png,"Brain MRI flair, with medium tumor on the top right"
51.png,"Brain MRI flair, with small tumor on the bottom left"
52.png,"Brain MRI flair, with medium tumor on the top right"
53.png,"Brain MRI flair, healthy"
54.png,"Brain MRI flair, with large tumor on the top left"
55.png,"Brain MRI flair, healthy"
56.png,"Brain MRI flair, with medium tumor on the top right"
57.png,"Brain MRI flair, with medium tumor on the top left"
58.png,"Brain MRI flair, healthy"
59.png,"Brain MRI flair, with small tumor on the top right"
60.png,"Brain MRI flair, with small tumor on the center left"
61.png,"Brain MRI flair, with medium tumor on the center left"
62.png,"Brain MRI flair, with medium tumor on the top left"
63.png,"Brain MRI flair, with medium tumor on the top right"
64.png,"Brain MRI flair, with medium tumor on the bottom right"
65.png,"Brain MRI flair, healthy"
66.png,"Brain MRI flair, with medium tumor on the top right"
67.png,"Brain MRI flair, healthy"
68.png,"Brain MRI flair, healthy"
69.png,"Brain MRI flair, with medium tumor on the top left"
70.png,"Brain MRI flair, healthy"
71.png,"Brain MRI flair, healthy"
72.png,"Brain MRI flair, with small tumor on the top left"
73.png,"Brain MRI flair, with medium tumor on the top right"
74.png,"Brain MRI flair, with medium tumor on the top left"
75.png,"Brain MRI flair, with medium tumor on the bottom right"
76.png,"Brain MRI flair, healthy"
77.png,"Brain MRI flair, healthy"
78.png,"Brain MRI flair, healthy"
79.png,"Brain MRI flair, healthy"
80.png,"Brain MRI flair, with medium tumor on the bottom left"
81.png,"Brain MRI flair, with large tumor on the top left"
82.png,"Brain MRI flair, with medium tumor on the bottom right"
83.png,"Brain MRI flair, with medium tumor on the top left"
84.png,"Brain MRI flair, healthy"
85.png,"Brain MRI flair, with small tumor on the top left"
86.png,"Brain MRI flair, healthy"
87.png,"Brain MRI flair, healthy"
88.png,"Brain MRI flair, healthy"
89.png,"Brain MRI flair, with medium tumor on the bottom left"
90.png,"Brain MRI flair, with medium tumor on the top right"
91.png,"Brain MRI flair, healthy"
92.png,"Brain MRI flair, healthy"
93.png,"Brain MRI flair, with small tumor on the top left"
94.png,"Brain MRI flair, healthy"
95.png,"Brain MRI flair, with medium tumor on the bottom right"
96.png,"Brain MRI flair, healthy"
97.png,"Brain MRI flair, with medium tumor on the top right"
98.png,"Brain MRI flair, with large tumor on the bottom right"
99.png,"Brain MRI flair, with small tumor on the bottom right"
100.png,"Brain MRI flair, healthy"
101.png,"Brain MRI flair, healthy"
102.png,"Brain MRI flair, healthy"
103.png,"Brain MRI flair, healthy"
104.png,"Brain MRI flair, with medium tumor on the top left"
105.png,"Brain MRI flair, healthy"
106.png,"Brain MRI flair, with large tumor on the bottom right"
107.png,"Brain MRI flair, with large tumor on the top left"
108.png,"Brain MRI flair, with medium tumor on the top left"
109.png,"Brain MRI flair, healthy"
110.png,"Brain MRI flair, healthy"
111.png,"Brain MRI flair, with medium tumor on the bottom right"
112.png,"Brain MRI flair, with small tumor on the top right"
113.png,"Brain MRI flair, with medium tumor on the top left"
114.png,"Brain MRI flair, healthy"
115.png,"Brain MRI flair, with medium tumor on the top right"
116.png,"Brain MRI flair, with medium tumor on the top left"
117.png,"Brain MRI flair, healthy"
118.png,"Brain MRI flair, with large tumor on the top right"
119.png,"Brain MRI flair, with medium tumor on the bottom right"
120.png,"Brain MRI flair, healthy"
121.png,"Brain MRI flair, with small tumor on the top right"
122.png,"Brain MRI flair, with medium tumor on the top right"
123.png,"Brain MRI flair, with medium tumor on the bottom left"
124.png,"Brain MRI flair, healthy"
125.png,"Brain MRI flair, healthy"
126.png,"Brain MRI flair, with small tumor on the top left"
127.png,"Brain MRI flair, healthy"
128.png,"Brain MRI flair, with medium tumor on the top right"
129.png,"Brain MRI flair, with medium tumor on the bottom left"
130.png,"Brain MRI flair, with medium tumor on the top right"
131.png,"Brain MRI flair, with large tumor on the top left"
132.png,"Brain MRI flair, with medium tumor on the top left"
133.png,"Brain MRI flair, with medium tumor on the top left"
134.png,"Brain MRI flair, with medium tumor on the top left"
135.png,"Brain MRI flair, healthy"
136.png,"Brain MRI flair, healthy"
137.png,"Brain MRI flair, with medium tumor on the center left"
138.png,"Brain MRI flair, with medium tumor on the top right"
139.png,"Brain MRI flair, healthy"
140.png,"Brain MRI flair, with medium tumor on the top left"
141.png,"Brain MRI flair, with small tumor on the top right"
142.png,"Brain MRI flair, healthy"
143.png,"Brain MRI flair, healthy"
144.png,"Brain MRI flair, healthy"
145.png,"Brain MRI flair, healthy"
146.png,"Brain MRI flair, with medium tumor on the top left"
147.png,"Brain MRI flair, with large tumor on the top right"
148.png,"Brain MRI flair, healthy"
149.png,"Brain MRI flair, with medium tumor on the top right"
150.png,"Brain MRI flair, with medium tumor on the bottom right"
151.png,"Brain MRI flair, healthy"
152.png,"Brain MRI flair, healthy"
153.png,"Brain MRI flair, with medium tumor on the top right"
154.png,"Brain MRI flair, healthy"
155.png,"Brain MRI flair, healthy"
156.png,"Brain MRI flair, healthy"
157.png,"Brain MRI flair, with large tumor on the bottom left"
158.png,"Brain MRI flair, healthy"
159.png,"Brain MRI flair, healthy"
160.png,"Brain MRI flair, healthy"
161.png,"Brain MRI flair, healthy"
162.png,"Brain MRI flair, with small tumor on the bottom right"
163.png,"Brain MRI flair, healthy"
164.png,"Brain MRI flair, healthy"
165.png,"Brain MRI flair, healthy"
166.png,"Brain MRI flair, with small tumor on the bottom right"
167.png,"Brain MRI flair, with small tumor on the bottom right"
168.png,"Brain MRI flair, healthy"
169.png,"Brain MRI flair, healthy"
170.png,"Brain MRI flair, healthy"
171.png,"Brain MRI flair, healthy"
172.png,"Brain MRI flair, healthy"
173.png,"Brain MRI flair, healthy"
174.png,"Brain MRI flair, healthy"
175.png,"Brain MRI flair, with medium tumor on the bottom left"
176.png,"Brain MRI flair, with small tumor on the center left"
177.png,"Brain MRI flair, healthy"
178.png,"Brain MRI flair, healthy"
179.png,"Brain MRI flair, healthy"
180.png,"Brain MRI flair, with medium tumor on the top right"
181.png,"Brain MRI flair, with medium tumor on the top right"
182.png,"Brain MRI flair, with medium tumor on the top right"
183.png,"Brain MRI flair, healthy"
184.png,"Brain MRI flair, healthy"
185.png,"Brain MRI flair, with medium tumor on the bottom left"
186.png,"Brain MRI flair, with medium tumor on the top left"
187.png,"Brain MRI flair, with small tumor on the top left"
188.png,"Brain MRI flair, with large tumor on the top left"
189.png,"Brain MRI flair, healthy"
190.png,"Brain MRI flair, healthy"
191.png,"Brain MRI flair, with small tumor on the bottom right"
192.png,"Brain MRI flair, with medium tumor on the bottom right"
193.png,"Brain MRI flair, healthy"
194.png,"Brain MRI flair, healthy"
195.png,"Brain MRI flair, healthy"
196.png,"Brain MRI flair, healthy"
197.png,"Brain MRI flair, with large tumor on the center right"
198.png,"Brain MRI flair, healthy"
199.png,"Brain MRI flair, healthy"
200.png,"Brain MRI flair, healthy"
201.png,"Brain MRI flair, healthy"
202.png,"Brain MRI flair, with medium tumor on the bottom right"
203.png,"Brain MRI flair, healthy"
204.png,"Brain MRI flair, with medium tumor on the top right"
205.png,"Brain MRI flair, healthy"
206.png,"Brain MRI flair, with small tumor on the bottom left"
207.png,"Brain MRI flair, with medium tumor on the top left"
208.png,"Brain MRI flair, with small tumor on the bottom right"
209.png,"Brain MRI flair, healthy"
210.png,"Brain MRI flair, healthy"
211.png,"Brain MRI flair, with large tumor on the top left"
212.png,"Brain MRI flair, with medium tumor on the top right"
213.png,"Brain MRI flair, healthy"
214.png,"Brain MRI flair, with medium tumor on the top right"
215.png,"Brain MRI flair, healthy"
216.png,"Brain MRI flair, healthy"
217.png,"Brain MRI flair, with medium tumor on the top left"
218.png,"Brain MRI flair, healthy"
219.png,"Brain MRI flair, with medium tumor on the top left"
220.png,"Brain MRI flair, healthy"
221.png,"Brain MRI flair, with large tumor on the top left"
222.png,"Brain MRI flair, with large tumor on the top left"
223.png,"Brain MRI flair, healthy"
224.png,"Brain MRI flair, healthy"
225.png,"Brain MRI flair, with medium tumor on the top left"
226.png,"Brain MRI flair, healthy"
227.png,"Brain MRI flair, with medium tumor on the top right"
228.png,"Brain MRI flair, with large tumor on the bottom right"
229.png,"Brain MRI flair, with medium tumor on the top right"
230.png,"Brain MRI flair, healthy"
231.png,"Brain MRI flair, healthy"
232.png,"Brain MRI flair, with medium tumor on the top right"
233.png,"Brain MRI flair, with large tumor on the top left"
234.png,"Brain MRI flair, healthy"
235.png,"Brain MRI flair, healthy"
236.png,"Brain MRI flair, with small tumor on the top right"
237.png,"Brain MRI flair, with medium tumor on the bottom right"
238.png,"Brain MRI flair, healthy"
239.png,"Brain MRI flair, with small tumor on the top left"
240.png,"Brain MRI flair, with medium tumor on the bottom right"
241.png,"Brain MRI flair, healthy"
242.png,"Brain MRI flair, with medium tumor on the top left"
243.png,"Brain MRI flair, with medium tumor on the top right"
244.png,"Brain MRI flair, healthy"
245.png,"Brain MRI flair, with medium tumor on the top left"
246.png,"Brain MRI flair, healthy"
247.png,"Brain MRI flair, healthy"
248.png,"Brain MRI flair, healthy"
249.png,"Brain MRI flair, healthy"
250.png,"Brain MRI flair, with medium tumor on the top right"
251.png,"Brain MRI flair, with medium tumor on the top left"
252.png,"Brain MRI flair, healthy"
253.png,"Brain MRI flair, with medium tumor on the top right"
254.png,"Brain MRI flair, with large tumor on the bottom right"
255.png,"Brain MRI flair, with small tumor on the top left"
256.png,"Brain MRI flair, healthy"
257.png,"Brain MRI flair, healthy"
258.png,"Brain MRI flair, with medium tumor on the top right"
259.png,"Brain MRI flair, healthy"
260.png,"Brain MRI flair, healthy"
261.png,"Brain MRI flair, healthy"
262.png,"Brain MRI flair, with medium tumor on the top left"
263.png,"Brain MRI flair, healthy"
264.png,"Brain MRI flair, with medium tumor on the top right"
265.png,"Brain MRI flair, healthy"
266.png,"Brain MRI flair, with medium tumor on the top right"
267.png,"Brain MRI flair, with large tumor on the top right"
268.png,"Brain MRI flair, healthy"
269.png,"Brain MRI flair, healthy"
270.png,"Brain MRI flair, healthy"
271.png,"Brain MRI flair, healthy"
272.png,"Brain MRI flair, with medium tumor on the top right"
273.png,"Brain MRI flair, healthy"
274.png,"Brain MRI flair, healthy"
275.png,"Brain MRI flair, healthy"
276.png,"Brain MRI flair, with small tumor on the top right"
277.png,"Brain MRI flair, with medium tumor on the bottom right"
278.png,"Brain MRI flair, healthy"
279.png,"Brain MRI flair, healthy"
280.png,"Brain MRI flair, with medium tumor on the top right"
281.png,"Brain MRI flair, with medium tumor on the top left"
282.png,"Brain MRI flair, with medium tumor on the top right"
283.png,"Brain MRI flair, with medium tumor on the top left"
284.png,"Brain MRI flair, with medium tumor on the top right"
285.png,"Brain MRI flair, healthy"
286.png,"Brain MRI flair, with medium tumor on the top right"
287.png,"Brain MRI flair, healthy"
288.png,"Brain MRI flair, healthy"
289.png,"Brain MRI flair, healthy"
290.png,"Brain MRI flair, healthy"
291.png,"Brain MRI flair, with medium tumor on the bottom right"
292.png,"Brain MRI flair, with medium tumor on the top left"
293.png,"Brain MRI flair, healthy"
294.png,"Brain MRI flair, with medium tumor on the top right"
295.png,"Brain MRI flair, healthy"
296.png,"Brain MRI flair, with small tumor on the top left"
297.png,"Brain MRI flair, healthy"
298.png,"Brain MRI flair, with medium tumor on the bottom left"
299.png,"Brain MRI flair, healthy"
300.png,"Brain MRI flair, with medium tumor on the top right"
301.png,"Brain MRI flair, healthy"
302.png,"Brain MRI flair, with medium tumor on the bottom right"
303.png,"Brain MRI flair, healthy"
304.png,"Brain MRI flair, with medium tumor on the bottom right"
305.png,"Brain MRI flair, healthy"
306.png,"Brain MRI flair, with small tumor on the top right"
